ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
CSO,Cochstedt Airport;Cochstedt#Germany!Europe
COF,Patrick Air Force Base;Cocoa#United States!North America
COI,Merritt Island Airport;Cocoa#United States!North America
CNC,Coconut Island Airport;Coconut Island#Australia!Oceania
CCK,Cocos Islands Airport;Cocos Islands#Cocos (Keeling) Islands!Oceania
DZI,Codazzi Airport;Codazzi#Colombia!South America
COD,Yellowstone Regional Airport;Cody#United States!North America
CUQ,Coen Airport;Coen#Australia!Oceania
COE,Coeur D'Alene Airport;Coeur D'Alene#United States!North America
CFA,Coffee Point Airport;Coffee Point#United States!North America
CFV,Coffeyville Municipal Airport;Coffeyville#United States!North America
KCC,Coffman Cove Sea Plane Base;Coffman Cove#United States!North America
CFS,Coffs Harbour Airport;Coffs Harbour#Australia!Oceania
CNG,Parvaud Airport;Cognac#France!Europe
CJB,Coimbatore International Airport;Coimbatore#India!Asia
CBP,Coimbra Airport;Coimbra#Portugal!Europe
XCO,Colac Airport;Colac#Australia!Oceania
CBK,Colby Municipal Airport;Colby#United States!North America
CDB,Cold Bay Airport;Cold Bay#United States!North America
YOD,Cold Lake Airport;Cold Lake#Canada!North America
CXF,Coldfoot Airport;Coldfoot#United States!North America
COM,Coleman Airport;Coleman#United States!North America
CLQ,Colima Airport;Colima#Mexico!North America
COL,Coll Island Airport;Coll Island#United Kingdom!Europe
CRB,Collarenebri Airport;Collarenebri#Australia!Oceania
CGS,College Park Airport;College Park#United States!North America
CLL,Easterwood Airport;College Station#United States!North America
CIE,Collie Airport;Collie#Australia!Oceania
YKC,Collins Bay Airport;Collins Bay#Canada!North America
KCE,Collinsville Airport;Collinsville#Australia!Oceania
CMR,Colmar-Houssen Airport;Colmar#France!Europe
CGN,Cologne Bonn Airport;Cologne#Germany!Europe
DWO,Diyawanna Oya Seaplane Base;Colombo#Sri Lanka!Asia
DGM,Dandugama Water Aerodrome;Colombo#Sri Lanka!Asia
RML,Ratmalana Airport;Colombo#Sri Lanka!Asia
CMB,Bandaranaike International Airport;Colombo#Sri Lanka!Asia
ONX,Colon Airport;Colon#Panama!Central America
CCT,Colonia Catriel Airport;Colonia Catriel#Argentina!South America
CYR,Laguna de los Patos International Airport;Colonia del Sacramento#Uruguay!South America
CSA,Colonsay Island Airport;Colonsay Island#United Kingdom!Europe
CSW,Colorado do Oeste Airport;Colorado do Oeste#Brazil!South America
AFF,United States Air Force Academy Airport;Colorado Springs#United States!North America
FCS,Butts Army Air Field;Colorado Springs#United States!North America
COS,Colorado Springs Airport;Colorado Springs#United States!North America
CLF,Coltishall Ab;Coltishall#United Kingdom!Europe
MMT,McEntire Joint National Guard Base;Columbia#United States!North America
MRC,Maury County Airport;Columbia#United States!North America
COA,Columbia Airport;Columbia#United States!North America
CUB,Owens Field;Columbia#United States!North America
COU,Columbia Regional Airport;Columbia#United States!North America
CAE,Columbia Metropolitan Airport;Columbia#United States!North America
CSG,Columbus Airport;Columbus#United States!North America
CMH,Port Columbus International Airport;Columbus#United States!North America
CBM,Columbus Air Force Base;Columbus#United States!North America
MKF,McKenna Army Air Field;Columbus#United States!North America
UBS,Lowndes County Airport;Columbus#United States!North America
CLU,Columbus Municipal Airport;Columbus#United States!North America
CUS,Columbus Municipal Airport;Columbus#United States!North America
OSU,Ohio State University Airport;Columbus#United States!North America
OLU,Columbus Airport;Columbus#United States!North America
GTR,Golden Triangle Regional Airport;Columbus#United States!North America
LCK,Rickenbacker International Airport;Columbus#United States!North America
YCK,Colville Lake Airport;Colville Lake#Canada!North America
XPL,Palmerola Air Base;Comayagua#Honduras!Central America
CLA,Comilla Airport;Comilla#Bangladesh!Asia
JCO,Comino Heliport;Comino#Malta!Europe
CIY,Comiso Airport;Comiso#Italy!Europe
CJT,Copalar Airport;Comitan#Mexico!North America
CRD,General E. Mosconi International Airport;Comodoro Rivadavia#Argentina!South America
YQQ,Comox Airport;Comox#Canada!North America
CPM,Compton Airport;Compton#United States!North America
VCS,Coong Airport;Con Dao#Viet Nam!Asia
CKY,Conakry Airport;Conakry#Guinea!Africa
CDJ,Conceicao Do Araguaia Airport;Conceicao Do Araguaia#Brazil!South America
CIO,MCAL Lopez Airport;Concepcion#Paraguay!South America
CEP,Concepcion Airport;Concepcion#Bolivia!South America
CCP,Carriel Sur Airport;Concepcion#Chile!South America
CCR,Buchanan Field;Concord#United States!North America
CON,Concord Municipal Airport;Concord#United States!North America
USA,Concord Regional Airport;Concord#United States!North America
CCI,Concordia Airport;Concordia#Brazil!South America
CNK,Blosser Municipal Airport;Concordia#United States!North America
COC,Concordia Airport;Concordia#Argentina!South America
CBX,Condobolin Airport;Condobolin#Australia!Oceania
COG,Mandinga Airport;Condoto#Colombia!South America
CFO,Confreza Airport;Confreza#Brazil!South America
TZN,South Andros Airport;Congo Town#Bahamas!Caribbean
CEV,Mettle Field;Connersville#United States!North America
CXO,Lone Star Executive Airport;Conroe#United States!North America
QDF,Conselheiro Lafaiete;Conselheiro Lafaiete#Brazil!South America
CND,Kogalniceanu Airport;Constanta#Romania!Europe
CZL,Ain El Bey Airport;Constantine#Algeria!Africa
COZ,Constanza Airport;Constanza#Dominican Republic!Caribbean
OTD,Contadora Airport;Contadora#Panama!Central America
CPD,Coober Pedy Airport;Coober Pedy#Australia!Oceania
COH,Cooch Behar Airport;Cooch Behar#India!Asia
CDA,Cooinda Airport;Cooinda#Australia!Oceania
CTN,Cooktown Airport;Cooktown#Australia!Oceania
CLH,Coolah Airport;Coolah#Australia!Oceania
OOL,Gold Coast Airport;Coolangatta (Gold Coast)#Australia!Oceania
COY,Coolawanyah Airport;Coolawanyah#Australia!Oceania
COB,Coolibah Airport;Coolibah#Australia!Oceania
OOM,Cooma Airport;Cooma#Australia!Oceania
COJ,Coonabarabran Airport;Coonabarabran#Australia!Oceania
CNB,Coonamble Airport;Coonamble#Australia!Oceania
CJF,Coondewanna Airport;Coondewanna#Australia!Oceania
JLA,Quart Creek Airport;Cooper Lodge#United States!North America
COP,Cooperstown Airport;Cooperstown#United States!North America
CRJ,Coorabie Airport;Coorabie#Australia!Oceania
CMD,Cootamundra Airport;Cootamundra#Australia!Oceania
RUY,Copan Airport;Copan#Honduras!Central America
RKE,Roskilde Airport;Copenhagen#Denmark!Europe
CPH,Copenhagen Airport;Copenhagen#Denmark!Europe
CPO,Chamonate Airport;Copiapo#Chile!South America
CZC,Copper Centre Airport;Copper Centre#United States!North America
COW,Coquimbo Airport;Coquimbo#Chile!South America
YZS,Coral Harbour Airport;Coral Harbour#Canada!North America
CZJ,Corazon De Jesus Airport;Corazon De Jesus#Panama!Central America
CRO,Corcoran Airport;Corcoran#United States!North America
ODL,Cordillo Downs Airport;Cordillo Downs#Australia!Oceania
ODB,Cordoba Airport;Cordoba#Spain and Canary Islands!Europe
COR,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport;Cordoba#Argentina!South America
CKU,Cordova City Airport;Cordova#United States!North America
CDV,Mudhole Smith Airport;Cordova#United States!North America
CRX,Roscoe Turner Airport;Corinth#United States!North America
ORK,Cork Airport;Cork#Ireland!Europe
RNI,Corn Island Airport;Corn Island#Nicaragua!Central America
CKO,Cornelio Procopio Airport;Cornelio Procopio#Brazil!South America
CBA,Corner Bay Airport;Corner Bay#United States!North America
YNF,Deer Lake/Stephenville Airport;Corner Brook#Canada!North America
YCC,Cornwall Regional Airport;Cornwall#Canada!North America
CZE,Coro Airport;Coro#Venezuela!South America
CMV,Coromandel Airport;Coromandel#New Zealand!Oceania
XCN,Coron Airport;Coron#Philippines!Asia
YCT,Coronation Airport;Coronation#Canada!North America
ENQ,Coronel Enrique Soto Cano AB Airport;Coronel Enrique Soto Cano AB#Honduras!Central America
CSZ,Brigadier Hector Ruiz;Coronel Suarez#Argentina!South America
CWW,Corowa Airport;Corowa#Australia!Oceania
CZH,Corozal Airport;Corozal#Belize!Central America
CZU,Corozal Airport;Corozal#Colombia!South America
NGW,Cabaniss Field;Corpus Christi#United States!North America
CUX,Cuddihy Field;Corpus Christi#United States!North America
NGP,Naval Air Station;Corpus Christi#United States!North America
CRP,Corpus Christi International Airport;Corpus Christi#United States!North America
CNQ,Camba Punta Airport;Corrientes#Argentina!South America
CYG,Corryong Airport;Corryong#Australia!Oceania
CRS,Corsicana Airport;Corsicana#United States!North America
YCF,Cortes Bay Seaplane Base;Cortes Bay#Canada!North America
CEZ,Montezuma County Airport;Cortez#United States!North America
CDF,Fiames Airport;Cortina d'Ampezzo#Italy!Europe
CTX,Cortland Airport;Cortland#United States!North America
CMG,Corumba Internacional Airport;Corumba#Brazil!South America
CVO,Corvallis Municipal Airport;Corvallis#United States!North America
CVU,Corvo Island (Azores) Airport;Corvo Island (Azores)#Portugal!Europe
CQS,Costa Marques Airport;Costa Marques#Brazil!South America
CBO,Awang Airport;Cotabato#Philippines!Asia
OTR,Coto 47 Airport;Coto 47#Costa Rica!Central America
COO,Cotonou Airport;Cotonou#Benin!Africa
OTT,Andre Maggi Airport;Cotriguacu#Brazil!South America
CBU,Cottbus Airport;Cottbus#Germany!Europe
CTW,Cottonwood Airport;Cottonwood#United States!North America
COT,Cotulla Airport;Cotulla#United States!North America
CIL,Melsing Creek Airport;Council#United States!North America
CBF,Council Bluffs Municipal Airport;Council Bluffs#United States!North America
CVF,Courchevel Airport;Courchevel#France!Europe
YCA,Courtenay Airport;Courtenay#Canada!North America
CVE,Covenas Airport;Covenas#Colombia!South America
CVT,Coventry Airport;Coventry#United Kingdom!Europe
COV,Covilha Airport;Covilha#Portugal!Europe
CWR,Cowarie Airport;Cowarie#Australia!Oceania
CCW,Cowell Airport;Cowell#Australia!Oceania
YYM,Cowley Airport;Cowley#Canada!North America
CWT,Cowra Airport;Cowra#Australia!Oceania
CXB,Coxs Bazar Airport;Coxs Bazar#Bangladesh!Asia
GXQ,Ten. Vidal Airport;Coyhaique#Chile!South America
CYL,Coyoles Airport;Coyoles#Honduras!Central America
CZM,Cozumel Airport;Cozumel#Mexico!North America
CDO,Cradock Airport;Cradock#South Africa!Africa
CGA,Craig Seaplane Base;Craig#United States!North America
CIG,Craig-Moffat Airport;Craig#United States!North America
CCV,Craig Cove Airport;Craig Cove#Vanuatu!Oceania
CRA,Craiova Airport;Craiova#Romania!Europe
YXC,Canadian Rockies International Airport;Cranbrook#Canada!North America
CCG,Crane County Airport;Crane#United States!North America
CKR,Crane Island Airport;Crane Island#United States!North America
RAV,Cravo Norte Airport;Cravo Norte#Colombia!South America
CSF,Creil Airport;Creil#France!Europe
CEC,Mc Namara Field;Crescent City#United States!North America
CSD,Cresswell Downs Airport;Cresswell Downs#Australia!Oceania
CSE,Crested Butte Airport;Crested Butte#United States!North America
CSQ,Creston Municipal Airport;Creston#United States!North America
CFQ,Creston Airport;Creston#Canada!North America
CEW,Bob Sikes Airport;Crestview#United States!North America
CCM,Criciuma Airport;Criciuma#Brazil!South America
CKI,Croker Island Airport;Croker Island#Australia!Oceania
CRN,Cromarty Airport;Cromarty#United Kingdom!Europe
CKD,Crooked Creek Airport;Crooked Creek#United States!North America
CRI,Crooked Island Airport;Crooked Island#Bahamas!Caribbean
CKN,Crookston Municipal Airport;Crookston#United States!North America
CTY,Cross City Airport;Cross City#United States!North America
YCR,Cross Lake Airport;Cross Lake#Canada!North America
CRT,Crossett Municipal Airport;Crossett#United States!North America
CSV,Crossville Memorial Airport;Crossville#United States!North America
CRV,Crotone Airport;Crotone#Italy!Europe
NRC,NASA Crows Landing Airport;Crows Landing#United States!North America
CDQ,Croydon Airport;Croydon#Australia!Oceania
CZB,Carlos Ruhl Airport;Cruz Alta#Brazil!South America
CZS,Campo Internacional Airport;Cruzeiro Do Sul#Brazil!South America
CYE,Crystal Lake Airport;Crystal Lake#United States!North America
FXO,Cuamba Airport;Cuamba#Mozambique!Africa
CUW,Cube Cove Airport;Cube Cove#United States!North America
CUC,Camilo Daza International Airport;Cucuta#Colombia!South America
CUG,Cudal Airport;Cudal#Australia!Oceania
CDP,Cuddapah Airport;Cuddapah#India!Asia
CUY,Cue Airport;Cue#Australia!Oceania
CUE,Mariscal Lamar International Airport;Cuenca#Ecuador!South America
CVJ,Cuernavaca Airport;Cuernavaca#Mexico!North America
CGB,Marechal Rondon International Airport;Cuiaba#Brazil!South America
CTI,Cuito Cuanavale Airport;Cuito Cuanavale#Angola!Africa
CPX,Benjamin Rivera Noriega Airport;Culebra#Puerto Rico!Caribbean
CUL,Culiacan International Airport;Culiacan#Mexico!North America
CUJ,Culion Airport;Culion#Philippines!Asia
CVR,Hughes Airport;Culver City#United States!North America
CUM,Antonio Jose de Sucre Airport;Cumana#Venezuela!South America
CBE,Wiley Ford Airport;Cumberland#United States!North America
CUF,Levaldigi Airport;Cuneo#Italy!Europe
CMA,Cunnamulla Airport;Cunnamulla#Australia!Oceania
CUR,Curacao International Airport;Curacao#Cura̤ao!Caribbean
CWB,Afonso Pena International Airport;Curitiba#Brazil!South America
BFH,Bacacheri Airport;Curitiba#Brazil!South America
QCR,Curitibanos;Curitibanos#Brazil!South America
QCP,Currais Novos;Currais Novos#Brazil!South America
CUI,Currillo Airport;Currillo#Colombia!South America
DCN,RAAF Base Curtin;Curtin#Australia!Oceania
CPU,Cururupu Airport;Cururupu#Brazil!South America
UZU,Curuzu Cuatia Airport;Curuzu Cuatia#Argentina!South America
CUH,Cushing Municipal Airport;Cushing#United States!North America
CTB,Cut Bank Municipal Airport;Cut Bank#United States!North America
CUT,Cutral Airport;Cutral#Argentina!South America
FCN,Cuxhaven/Nordholz Airport;Cuxhaven#Germany!Europe
CYU,Cuyo Airport;Cuyo#Philippines!Asia
CUZ,Alejandro Velasco Astete International Airport;Cuzco#Peru!South America
CZW,Czestochowa Airport;Czestochowa#Poland!Europe
DAD,Da Nang International Airport;Da Nang#Viet Nam!Asia
DBB,Al Alamain International Airport;Dabaa#Egypt!Middle East
DAO,Dabo Airport;Dabo#Papua New Guinea!Asia
DRH,Dabra Airport;Dabra#Indonesia!Asia
DDU,Dadu Airport;Dadu#Pakistan!Asia
ZIZ,Zamzama Heliport;Dadu#Pakistan!Asia
QET,Daedeok Airport;Daedeok#Republic of Korea!Asia
TAE,Daegu International Airport;Daegu#Republic of Korea!Asia
DTE,Camarines Norte Airport;Daet#Philippines!Asia
DAG,Barstow-Daggett Airport;Daggett#United States!North America
DCK,Dahl Creek Airport;Dahl Creek#United States!North America
DGN,Naval Air Field;Dahlgren#United States!North America
DKR,Leopold Sedar Senghor International Airport;Dakar#Senegal!Africa
VIL,Dakhla Airport;Dakhla#Morocco!Africa
DAK,Dakhla Airport;Dakhla Oasis#Egypt!Middle East
DLM,Dalaman Airport;Dalaman#Turkey!Europe
DLZ,Dalanzadgad Airport;Dalanzadgad#Mongolia!Asia
DLI,Lien Khuong Airport;Dalat#Viet Nam!Asia
DBA,Dalbandin Airport;Dalbandin#Pakistan!Asia
DBY,Dalby Airport;Dalby#Australia!Oceania
DGD,Dalgaranga Airport;Dalgaranga#Australia!Oceania
DHT,Dalhart Airport;Dalhart#United States!North America
DLU,Dali Airport;Dali City#China!Asia
DLC,Dalian Zhoushuizi International Airport;Dalian#China!Asia
RBD,Dallas Executive Airport;Dallas#United States!North America
DFW,Dallas/Fort Worth International Airport;Dallas#United States!North America
JDB,Dallas Downtown Heliport;Dallas#United States!North America
JMD,Market Centre Heliport;Dallas#United States!North America
JNH,North Park Inn Heliport;Dallas#United States!North America
ADS,Addison Airport;Dallas#United States!North America
DAL,Dallas Love Field;Dallas#United States!North America
DJO,Daloa Airport;Daloa#Cote d'Ivoire!Africa
DNN,Dalton Municipal Airport;Dalton#United States!North America
DVR,Daly River Airport;Daly River#Australia!Oceania
DYW,Daly Waters Airport;Daly Waters#Australia!Oceania
NMB,Daman Airport;Daman#India!Asia
DAM,Damascus International Airport;Damascus#Syrian Arab Republic!Middle East
DBU,Dambula Oya Tank Airport;Dambula#Sri Lanka!Asia
DMM,King Fahad International Airport;Dammam#Saudi Arabia!Middle East
DNC,Danane Airport;Danane#Cote d'Ivoire!Africa
DXR,Danbury Airport;Danbury#United States!North America
DDG,Langtou Airport;Dandong#China!Asia
DNP,Dang Airport;Dang#Nepal!Asia
DGB,Danger Bay Airport;Danger Bay#United States!North America
DGA,Dangriga Airport;Dangriga#Belize!Central America
YDH,Daniels Harbour Airport;Daniels Harbour#Canada!North America
DSV,Dansville Airport;Dansville#United States!North America
DAN,Danville Municipal Airport;Danville#United States!North America
DNV,Vermilion Regional Airport;Danville#United States!North America
DCY,Daocheng Yading Airport;Daocheng#China!Asia
DAE,Daparizo Airport;Daparizo#India!Asia
DQA,Daqing Shi Airport ;Daqing#China!Asia
DAR,Julius Nyerere International Airport;Dar Es Salaam#United Republic of Tanzania!Africa
DAP,Darchula Airport;Darchula#Nepal!Asia
DGR,Dargaville Aerodrome;Dargaville#New Zealand!Oceania
DAI,Darjeeling Airport;Darjeeling#India!Asia
NLF,Darnley Island Airport;Darnley Island#Australia!Oceania
DSL,Daru Airport;Daru#Sierra Leone!Africa
DAU,Daru Airport;Daru#Papua New Guinea!Asia
DAZ,Darwaz Airport;Darwaz#Afghanistan!Asia
DRW,Darwin International Airport;Darwin#Australia!Oceania
TAZ,Dashoguz Airport;Dashoguz#Turkmenistan!Asia
DTD,Datadawai Airport;Datadawai#Indonesia!Asia
DAH,Dathina Airport;Dathina#Republic of Yemen!Middle East
DAT,Datong Airport;Datong#China!Asia
DAJ,Dauan Island Airport;Dauan Island#Australia!Oceania
DGP,Daugavpils Airport;Daugavpils#Latvia!Europe
DAF,Daup Airport;Daup#Papua New Guinea!Asia
YDN,Dauphin Airport;Dauphin#Canada!North America
DVO,Francisco Bangoy Intl Airport;Davao#Philippines!Asia
DVN,Davenport Airport;Davenport#United States!North America
DVP,Davenport Downs Airport;Davenport Downs#Australia!Oceania
DAV,Enrique Malek Airport;David#Panama!Central America
YDI,Davis Inlet Airport;Davis Inlet#Canada!North America
DWD,Dawadmi Airport;Dawadmi#Saudi Arabia!Middle East
TVY,Dawe Airport;Dawe#Myanmar!Asia
YDA,Dawson City Airport;Dawson City#Canada!North America
YDQ,Dawson Creek Airport;Dawson Creek#Canada!North America
DAX,Daxian Airport;Daxian#China!Asia
DDI,Daydream Island Airport;Daydream Island#Australia!Oceania
DYG,Zhangjiajie Hehua Airport;Dayong#China!Asia
DAY,James M. Cox Dayton International Airport;Dayton#United States!North America
MGY,Montgomery County Airport;Dayton#United States!North America
DWF,Wright Air Force Base;Dayton#United States!North America
FFO,Patterson Air Force Base;Dayton#United States!North America
DAB,Daytona Beach International Airport;Daytona Beach#United States!North America
DZU,Dazu Airport;Dazu#China!Asia
DRI,Beauregard Parish Airport;De Ridder#United States!North America
LGI,Deadmans Cay Airport;Deadmans Cay#Bahamas!Caribbean
YRD,Dean River Airport;Dean River#Canada!North America
DEO,Hyatt Regency Heliport;Dearborn#United States!North America
YDL,Dease Lake Airport;Dease Lake#Canada!North America
DTH,Death Valley Airport;Death Valley#United States!North America
DOL,Saint Gatien Airport;Deauville#France!Europe
DBP,Debepare Airport;Debepare#Papua New Guinea!Asia
DBM,Debra Marcos Airport;Debra Marcos#Ethiopia!Africa
DBT,Debra Tabor Airport;Debra Tabor#Ethiopia!Africa
DEB,Debrecen Airport;Debrecen#Hungary!Europe
DCR,Decatur Hi-Way Airport;Decatur#United States!North America
DCU,Pyor Airport;Decatur#United States!North America
DEC,Decatur Airport;Decatur#United States!North America
DTR,Decatur Island Airport;Decatur Island#United States!North America
YGY,Deception Bay Airport;Deception Bay#Canada!North America
DCI,Rafsu Decimomannu Airport;Decimomannu#Italy!Europe
DEH,Decorah Municipal Airport;Decorah#United States!North America
DGU,Dedougou Airport;Dedougou#Burkina Faso!Africa
WDB,Deep Bay Airport;Deep Bay#United States!North America
YDF,Deer Lake Regional Airport;Deer Lake#Canada!North America
YVZ,Deer Lake Airport;Deer Lake#Canada!North America
DPK,Deer Park Airport;Deer Park#United States!North America
DRG,Deering Airport;Deering#United States!North America
DFI,Defiance Memorial Airport;Defiance#United States!North America
DGC,Degahbur Airport;Degahbur#Ethiopia!Africa
DED,Dehra Dun Airport;Dehra Dun#India!Asia
DEZ,Al Jafrah Airport;Deirezzor#Syrian Arab Republic!Middle East
IAO,Sayak Airport;Del Carmin#Philippines!Asia
DLF,Laughlin Air Force Base;Del Rio#United States!North America
DRT,Del Rio International Airport;Del Rio#United States!North America
DEL,Indira Gandhi International Airport;Delhi#India!Asia
DQO,Delhi Municipal;Delhi#United States!North America
YWJ,Deline Airport;Deline#Canada!North America
HXD,Delingha Airport;Delingha City#China!Asia
DLV,Delissaville Airport;Delissaville#Australia!Oceania
ZDY,Delma Island Airport;Delma Island#United Arab Emirates!Middle East
DTA,Delta Airport;Delta#United States!North America
DDN,Delta Downs Airport;Delta Downs#Australia!Oceania
BIG,Allen Army  Airfield;Delta Junction#United States!North America
DJN,Delta Junction Airport;Delta Junction#United States!North America
DEM,Dembidollo Airport;Dembidollo#Ethiopia!Africa
DMN,Deming Airport;Deming#United States!North America
DHR,De Kooy Airport;Den Helder#Netherlands!Europe
DNM,Denham Airport;Denham#Australia!Oceania
DNQ,Deniliquin Airport;Deniliquin#Australia!Oceania
DEI,Denis Island Airport;Denis Island#Seychelles!Africa
DNS,Denison Municipal Airport;Denison#United States!North America
DNZ,Cardak Airport;Denizli#Turkey!Europe
DPS,Ngurah Rai International Airport;Denpasar#Indonesia!Asia
APA,Centennial Airport;Denver#United States!North America
BFK,Buckley Air National Guard Base;Denver#United States!North America
DEN,Denver International Airport;Denver#United States!North America
DEP,Deparizo Airport;Deparizo#India!Asia
DPT,Deputatskiy Airport;Deputatskiy#Russian Federation!Europe
QDK,Dera Ghazi Khan;Dera Ghazi Khan#Pakistan!Asia
DEA,Dera Ghazi Khan Airport;Dera Ghazi Khan#Pakistan!Asia
DSK,Dera Ismail Khan Airport;Dera Ismail Khan#Pakistan!Asia
DRB,Derby Airport;Derby#Australia!Oceania
DER,Derim Airport;Derim#Papua New Guinea!Asia
DNF,Martuba Airport;Derna#Libya!Africa
LDY,City of Derry Airport;Derry#United Kingdom!Europe
DSM,Des Moines International Airport;Des Moines#United States!North America
YDS,Desolation Sound;Desolation Sound#Canada!North America
DES,Desroches Airport;Desroches#Seychelles!Africa
DSE,Kombolcha Airport;Dessie#Ethiopia!Africa
DSI,Destin-Fort Walton Beach Airport;Destin#United States!North America
DTW,Detroit Metropolitan Wayne County Airport;Detroit#United States!North America
YIP,Willow Run Airport;Detroit#United States!North America
DET,Coleman A. Young Municipal Airport;Detroit#United States!North America
DTL,Detroit Lakes Airport;Detroit Lakes#United States!North America
DXA,Deux Alpes Airport;Deux Alpes#France!Europe
DVA,Deva Airport;Deva#Romania!Europe
DVL,Devils Lake Airport;Devils Lake#United States!North America
DPO,Devonport Airport;Devonport#Australia!Oceania
DEF,Dezful Airport;Dezful#Iran!Asia
DHA,King Abdulaziz Air Base;Dhahran#Saudi Arabia!Middle East
DAC,Hazrat Shahjalal International Airport;Dhaka#Bangladesh!Asia
DHL,Dhala Airport;Dhala#Republic of Yemen!Middle East
DMR,Dhamar Airport;Dhamar#Republic of Yemen!Middle East
DBD,Dhanbad Airport;Dhanbad#India!Asia
DHI,Dhangarhi Airport;Dhangarhi#Nepal!Asia
DHM,Kanga Airport;Dharamsala#India!Asia
DRV,Dharavandhoo AIrport;Dharavandhoo Island#Maldives!Asia
DTI,Diamantina Airport;Diamantina#Brazil!South America
DYM,Diamantina Lakes Airport;Diamantina Lakes#Australia!Oceania
DMT,Diamantino Airport;Diamantino#Brazil!South America
DNO,Dianopolis Airport;Dianopolis#Brazil!South America
DIP,Diapaga Airport;Diapaga#Burkina Faso!Africa
DVK,Diavik Airport;Diavik#Canada!North America
BYB,Dibaa Airport;Dibaa#Oman!Middle East
DIB,Dibrugarh Airport;Dibrugarh#India!Asia
DIK,Dickinson Regional Airport;Dickinson#United States!North America
XDE,Diebougou Airport;Diebougou#Burkina Faso!Africa
DIN,Dien Bien Airport;Dien Bien Phu#Viet Nam!Asia
DPE,Dieppe Airport;Dieppe#France!Europe
YDG,Digby Airport;Digby#Canada!North America
DIJ,Dijon Airport;Dijon#France!Europe
DKS,Dikson Airport;Dikson#Russian Federation!Europe
DIW,Mawella Lagoon Airport;Dikwella#Sri Lanka!Asia
DSG,Dilasag Airport;Dilasag#Philippines!Asia
DIL,Comoro Airport;Dili#East Timor!Oceania
DIC,Dili Airport;Dili#The Democratic Republic of The Congo!Africa
DLG,Dillingham Airport;Dillingham#United States!North America
DLL,Dillon Airport;Dillon#United States!North America
DLN,Dillon Airport;Dillon#United States!North America
DLY,Dillons Bay Airport;Dillons Bay#Vanuatu!Oceania
DMU,Dimapur Airport;Dimapur#India!Asia
DIM,Dimbokro Airport;Dimbokro#Cote d'Ivoire!Africa
DNU,Dinangat Airport;Dinangat#Papua New Guinea!Asia
DNR,Pleurtuit Airport;Dinard#France!Europe
DNX,Galegu Airport;Dinder#Sudan!Africa
DIO,Diomede Island Airport;Diomede Island#United States!North America
DOS,Dios Airport;Dios#Papua New Guinea!Asia
DPL,Dipolog Airport;Dipolog#Philippines!Asia
DIG,Diqing Shangri-La Airport;Diqing#China!Asia
DIR,Aba Tenna D Yilma Airport;Dire Dawa#Ethiopia!Africa
DRC,Dirico Airport;Dirico#Angola!Africa
DRN,Dirranbandi Airport;Dirranbandi#Australia!Oceania
DLP,Disneyland Paris Airport;Disneyland Paris#France!Europe
DIU,Diu Airport;Diu#India!Asia
DIQ,Divinopolis Airport;Divinopolis#Brazil!South America
DIV,Divo Airport;Divo#Cote d'Ivoire!Africa
DXD,Dixie Airport;Dixie#Australia!Oceania
DIY,Diyarbakir Airport;Diyarbakir#Turkey!Europe
DJM,Djambala Airport;Djambala#Congo!Africa
DJG,Inedbirenne Airport;Djanet#Algeria!Africa
DJE,Melita Airport;Djerba#Tunisia!Africa
XDJ,Djibo Airport;Djibo#Burkina Faso!Africa
JIB,Djibouti-Ambouli International Airport;Djibouti#Djibouti!Africa
DOE,Djoemoe Airport;Djoemoe#Suriname!South America
DJA,Djougou Airport;Djougou#Benin!Africa
DJU,Djupivogur Airport;Djupivogur#Iceland!Europe
DNK,Dnepropetrovsk International Airport;Dnepropetrovsk#Ukraine!Europe
DOA,Doany Airport;Doany#Madagascar!Africa
DOB,Rar Gwamar Airport;Dobo#Indonesia!Asia
YDX,Doc Creek Airport;Doc Creek#Canada!North America
DKV,Docker River Airport;Docker River#Australia!Oceania
DDC,Dodge City Municipal Airport;Dodge City#United States!North America
DDM,Dodoima Airport;Dodoima#Papua New Guinea!Asia
DOD,Dodoma Airport;Dodoma#United Republic of Tanzania!Africa
XJD,Al Udeid Air Base;Doha#Qatar!Middle East
DOH,Hamad International Airport;Doha#Qatar!Middle East
DOI,Doini Airport;Doini#Papua New Guinea!Asia
YDO,St Methode Airport;Dolbeau#Canada!North America
DLE,Dole-Jura Airport;Dole#France!Europe
DIS,Ngot Nzoungou Airport;Dolisie#Congo!Africa
DLO,Dolomi Airport;Dolomi#United States!North America
DOP,Dolpa Airport;Dolpa#Nepal!Asia
QDP,Dom Pedrito;Dom Pedrito#Brazil!South America
DOM,Melville Hall Airport;Dominica#Dominica!Caribbean
DCF,Cane Field Airport;Dominica#Dominica!Caribbean
DSA,Doncaster Sheffield Airport;Doncaster#United Kingdom!Europe
CFN,Donegal Airport;Donegal#Ireland!Europe
DOK,Donetsk International Airport;Donetsk#Ukraine!Europe
VDH,Dong Hoi Airport;Dong Hoi#Viet Nam!Asia
DOX,Dongara Airport;Dongara#Australia!Oceania
DOG,Dongola Airport;Dongola#Sudan!Africa
DSN,Ordos Ejin Horo Airport;Dongsheng#China!Asia
DOY,Dongying Airport;Dongying#China!Asia
