ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
CAK,Akron-Canton Airport;Akron#United States!North America
AKO,Washington County Airport;Akron#United States!North America
AKC,Akron Fulton International Airport;Akron/Canton#United States!North America
AKT,Akrotiri Royal Air Force;Akrotiri#Cyprus!Europe
AKU,Aksu Airport;Aksu#China!Asia
SCO,Aktau International Airport;Aktau#Kazakhstan!Asia
AKX,Aktyubinsk Airport;Aktyubinsk#Kazakhstan!Asia
AKV,Akulivik Airport;Akulivik#Canada!North America
QCU,Heliport;Akunnaaq#Greenland!North America
AKR,Akure Airport;Akure#Nigeria!Africa
AEY,Akureyri Airport;Akureyri#Iceland!Europe
KQA,Akutan Airport;Akutan#United States!North America
AAN,Al Ain Airport;Al Ain#United Arab Emirates!Middle East
AAY,Al Ghaydah Airport;Al Ghaydah#Republic of Yemen!Middle East
AHU,Charif Al Idrissi Airport;Al Hoceima#Morocco!Africa
AKH,Prince Sultan Air Base;Al Kharj#Saudi Arabia!Middle East
MNH,Rustaq Airport;Al Masnaah#Oman!Middle East
SOR,Al Thaurah Airport;Al Thaurah#Syrian Arab Republic!Middle East
ULH,Prince Abdul Majeed bin Abdulaziz Airport;Al Ula#Saudi Arabia!Middle East
AAV,Alah Airport;Alah#Philippines!Asia
AUK,Alakanuk Airport;Alakanuk#United States!North America
PGU,Ala'Marvdasht Airport;Ala'Marvdasht#Iran!Asia
NGZ,Alameda Naval Air Station;Alameda#United States!North America
ALM,Alamogordo Municipal Airport;Alamogordo#United States!North America
HMN,Holloman Air Force Base;Alamogordo#United States!North America
XAL,Alamos Airport;Alamos#Mexico!North America
ALS,Alamosa Municipal Airport;Alamosa#United States!North America
ABC,Los Llanos Airport;Albacete#Spain and Canary Islands!Europe
ABT,Al-Aqiq Airport;Al-Baha#Saudi Arabia!Middle East
ALB,Albany International Airport;Albany#United States!North America
NAB,Albany Naval Air Station;Albany#United States!North America
ABY,Southwest Georgia Regional Airport;Albany#United States!North America
ALH,Albany Airport;Albany#Australia!Oceania
ALL,Albenga Airport;Albenga#Italy!Europe
BYF,Albert Bray Airport;Albert#France!Europe
AEL,Albert Lea Airport;Albert Lea#United States!North America
LBI,Le Sequestre Airport;Albi#France!Europe
ABN,Albina Airport;Albina#Suriname!South America
BUK,Albuq Airport;Albuq#Republic of Yemen!Middle East
ABQ,Albuquerque International Sunport;Albuquerque#United States!North America
ABX,Albury Airport;Albury#Australia!Oceania
AYH,Royal Air Force Station;Alconbury#United Kingdom!Europe
ADH,Aldan Airport;Aldan#Russian Federation!Europe
ACI,Alderney Airport;Alderney#United Kingdom!Europe
LEG,Aleg Airport;Aleg#Mauritania!Africa
ALQ,Federal Airport;Alegrete#Brazil!South America
WKK,Aleknagik Airport;Aleknagik#United States!North America
AED,Aleneva Airport;Aleneva#United States!North America
ALT,Alenquer Airport;Alenquer#Brazil!South America
ALP,Aleppo International Airport;Aleppo#Syrian Arab Republic!Middle East
YLT,Alert Airport;Alert#Canada!North America
YAL,Alert Bay Airport;Alert Bay#Canada!North America
ALD,Alerta Airport;Alerta#Peru!South America
ALJ,Kortdoorn Airport;Alexander Bay#South Africa!Africa
ALX,Thomas C Russell Field;Alexander City#United States!North America
ALR,Alexandra Airport;Alexandra#New Zealand!Oceania
HBE,Borg El Arab Airport;Alexandria#Egypt!Middle East
AXL,Alexandria Airport;Alexandria#Australia!Oceania
ESF,Esler Field;Alexandria#United States!North America
AXN,Alexandria Municipal Airport;Alexandria#United States!North America
ALY,El Nohza Airport;Alexandria#Egypt!Middle East
AEX,Alexandria International Airport;Alexandria#United States!North America
AXB,Alexandria Bay Airport;Alexandria Bay#United States!North America
AXD,Demokritos Airport;Alexandroupolis#Greece!Europe
FJR,Fujairah International Airport;Al-Fujairah#United Arab Emirates!Middle East
AEI,Algeciras Airport;Algeciras#Spain and Canary Islands!Europe
AHO,Alghero-Fertilia Airport;Alghero#Italy!Europe
ALG,Houari Boumediene Airport;Algiers#Algeria!Africa
AXG,Algona Airport;Algona#United States!North America
ILD,Lleida-Alguaire Airport;Alguaire#Spain and Canary Islands!Europe
ALC,Alicante-Elche Airport;Alicante#Spain and Canary Islands!Europe
ALI,Alice International Airport;Alice#United States!North America
ZAA,Alice Arm Airport;Alice Arm#Canada!North America
ASP,Alice Springs Airport;Alice Springs#Australia!Oceania
AIV,George Downer Airport;Aliceville#United States!North America
AII,Ali-Sabieh Airport;Ali-Sabieh#Djibouti!Africa
ALZ,Alitak Sea Plane Base;Alitak#United States!North America
AJO,Aljouf Airport;Aljouf#Republic of Yemen!Middle East
IXD,Bamrauli Airport;Allahabad#India!Asia
AET,Allakaket Airport;Allakaket#United States!North America
ADY,Alldays Airport;Alldays#South Africa!Africa
ABE,Lehigh Valley International Airport;Allentown#United States!North America
AIA,Alliance Airport;Alliance#United States!North America
LLU,Alluitsup Paa Airport;Alluitsup Paa#Greenland!North America
YTF,Alma Airport;Alma#Canada!North America
AMN,Gratiot Community Airport;Alma#United States!North America
ALA,Almaty Airport;Almaty#Kazakhstan!Asia
AMJ,Almenara Airport;Almenara#Brazil!South America
LEI,Almeria Airport;Almeria#Spain and Canary Islands!Europe
AMR,Almeria Station;Almeria#Spain and Canary Islands!Europe
NJF,Al-Najaf International Airport;Al-Najaf#Iraq!Middle East
IXV,Along Airport;Along#India!Asia
ARD,Alor Island Airport;Alor Island#Indonesia!Asia
AOR,Sultan Abdul Halim Airport;Alor Setar#Malaysia!Asia
GUR,Gurney Airport;Alotau#Papua New Guinea!Asia
AWE,Alowe Airport;Alowe#Gabon!Africa
AHZ,Alpe D Huez Airport;Alpe D Huez#France!Europe
APN,Alpena County Regional Airport;Alpena#United States!North America
ABH,Alpha Airport;Alpha#Australia!Oceania
ALE,Alpine-Casparis Municipal Airport;Alpine#United States!North America
AYD,Alroy Downs Airport;Alroy Downs#Australia!Oceania
ALF,Alta Airport;Alta#Norway!Europe
AFL,Alta Floresta Airport;Alta Floresta#Brazil!South America
YAE,Alta Lake Airport;Alta Lake#Canada!North America
LTI,Altai Airport;Altai#Mongolia!Asia
ATM,Altamira Airport;Altamira#Brazil!South America
AAT,Altay Airport;Altay#China!Asia
AOC,Altenburg Nobitz Airport;Altenburg#Germany!Europe
ACH,Altenrhein Airport;Altenrhein#Switzerland!Europe
AME,Alto Molocue Airport;Alto Molocue#Mozambique!Africa
WAP,Alto Palena Airport;Alto Palena#Chile!South America
APY,Alto Parnaiba Airport;Alto Parnaiba#Brazil!South America
ARR,Alto Rio Senguerr Airport;Alto Rio Senguerr#Argentina!South America
ALN,St. Louis Regional Airport;Alton#United States!North America
AWN,Alton Downs Airport;Alton Downs#Australia!Oceania
AOO,Altoona Airport;Altoona#United States!North America
LTS,Altus Air Force Base;Altus#United States!North America
AXS,Altus Municipal Airport;Altus#United States!North America
ALU,Alula Airport;Alula#Somalia!Africa
AXF,Alxa Left Banner Airport;Alxa Left Banner#China!Asia
RHT,Alxa Right Banner Airport;Alxa Right Banner#China!Asia
AQY,Alyeska Airport;Alyeska#United States!North America
AMC,Am Timan Airport;Am Timan#Chad!Africa
AMF,Ama Airport;Ama#Papua New Guinea!Asia
AHI,Amahai Airport;Amahai#Indonesia!Asia
AFI,Amalfi Airport;Amalfi#Colombia!South America
ASJ,Amami Airport;Amami O Shima#Japan!Asia
AMU,Amanab Airport;Amanab#Papua New Guinea!Asia
TDW,Tradewind Airport;Amarillo#United States!North America
AMA,Rick Husband Amarillo International Airport;Amarillo#United States!North America
AMT,Amata Airport;Amata#Australia!Oceania
AZB,Amazon Bay Airport;Amazon Bay#Papua New Guinea!Asia
IVA,Ambanja Airport;Ambanja#Madagascar!Africa
ATF,Chachoan Airport;Ambato#Ecuador!South America
AHY,Ambatolahy Airport;Ambatolahy#Madagascar!Africa
AMY,Ambatomainty Airport;Ambatomainty#Madagascar!Africa
WAM,Ambatondrazaka Airport;Ambatondrazaka#Madagascar!Africa
AMB,Ambilobe Airport;Ambilobe#Madagascar!Africa
ABL,Ambler Airport;Ambler#United States!North America
AMG,Amboin Airport;Amboin#Papua New Guinea!Asia
AMQ,Pattimura Airport;Ambon#Indonesia!Asia
ASV,Amboseli Airport;Amboseli#Kenya!Africa
AZZ,Ambriz Airport;Ambriz#Angola!Africa
AUJ,Ambunti Airport;Ambunti#Papua New Guinea!Asia
AHT,Amchitka Airport;Amchitka#United States!North America
