iata,name;city#countryName!regionName
BXB,Babo Airport;Babo#Indonesia!Asia
SZW,Parchim Airport;Schwerin#Germany!Europe
EBH,El Bayadh Airport;El Bayadh#Algeria!Africa
SJZ,Sao Jorge Island Airport;Sao Jorge Island#Portugal!Europe
ISU,Sulaimaniyah International Airport;Sulaimaniyah#Iraq!Middle East
HYD,Rajiv Gandhi International Airport;Hyderabad#India!Asia
BER,Berlin Brandenburg Airport;Berlin#Germany!Europe
MYQ,Mysore Airport;Mysore#India!Asia
NBE,Enfidha - Hammamet International Airport ;Enfidha#Tunisia!Africa
SWT,Strzhewoi Airport;Strzhewoi#Russian Federation!Europe
IND,Indianapolis International Airport;Indianapolis#United States!North America
JKL,Kalymnos Island National Airport;Kalymnos#Greece!Europe
CAJ,Canaima Airport;Canaima#Venezuela!South America
CHU,Chuathbaluk Airport;Chuathbaluk#United States!North America
GOU,Garoua Airport;Garoua#Cameroon!Africa
TIQ,Tinian International Airport;Tinian#Northern Mariana Islands!Oceania
YCK,Colville Lake Airport;Colville Lake#Canada!North America
BII,Enyu Airfield;Bikini Atoll#Marshall Islands!Oceania
TFS,Tenerife South Airport;Tenerife#Spain and Canary Islands!Europe
APO,Apartado Airport;Apartado#Colombia!South America
NAQ,Qaanaaq Airport;Qaanaaq#Greenland!North America
MVR,Salak Airport;Maroua#Cameroon!Africa
PZI,Pan Zhi Hua Bao An Ying;Pan Zhi Hua#China!Asia
SYM,Simao Airport;Simao#China!Asia
HLH,Ulanhot Airport;Ulanhot#China!Asia
KGX,Grayling Airport;Grayling#United States!North America
YTQ,Tasiujuaq Airport;Tasiujuaq#Canada!North America
MMX,Malmo Airport;Malmo#Sweden!Europe
ESC,Delta County Airport;Escanaba#United States!North America
SRY,Dashte Naz Airport;Sary#Iran!Asia
BIS,Bismarck Airport;Bismarck#United States!North America
YSJ,Saint John Airport;Saint John#Canada!North America
IXI,Lilabari Airport;Lilabari#India!Asia
SVU,Savusavu Airport;Savusavu#Fiji!Oceania
ROR,Airai Airport;Koror#Palau!Oceania
SXV,Salem Airport;Salem#India!Asia
GUM,A.B. Won Pat International Airport;Guam#Guam!Oceania
FTU,Marillac Airport;Fort Dauphin#Madagascar!Africa
BIX,Keesler Air Force Base;Biloxi#United States!North America
YOC,Old Crow Airport;Old Crow#Canada!North America
TAT,Poprad/Tatry Airport;Poprad/Tatry#Slovakia!Europe
ASD,Andros Town Airport;Andros Town#Bahamas!Caribbean
AXA,Clayton J. Lloyd International Airport;Anguilla#Anguilla!Caribbean
MOC,Montes Claros Airport;Montes Claros#Brazil!South America
IFN,Isfahan International Airport;Isfahan#Iran!Asia
FEZ,Fes-Saiss Airport;Fez#Morocco!Africa
BGA,Palonegro International Airport;Bucaramanga#Colombia!South America
VXO,Vaxjo Airport;Vaxjo#Sweden!Europe
MVB,M'Vengue El Hadj Omar Bongo Ondimba Intl Airport;Franceville#Gabon!Africa
LAS,McCarran International Airport;Las Vegas#United States!North America
VTZ,Vishakhapatnam Airport;Vishakhapatnam#India!Asia
WVB,Rooikop Airport;Walvis Bay#Namibia!Africa
ABE,Lehigh Valley International Airport;Allentown#United States!North America
ART,Watertown Airport;Watertown#United States!North America
AVV,Avalon Airport;Avalon#Australia!Oceania
GBD,Great Bend Airport;Great Bend#United States!North America
AUK,Alakanuk Airport;Alakanuk#United States!North America
DBV,Dubrovnik Airport;Dubrovnik#Croatia!Europe
