iata,name,city,countryName,regionName,utcOffsetHours,latitude,longitude
TBL,Tableland Airport,Tableland,Australia,Oceania,8,-17.3,126.833333
GKE,Geilenkirchen Airport,Geilenkirchen,Germany,Europe,2,50.975473,6.077431
TBV,Tabal Airport,Tabal,Marshall Islands,Oceania,12,10.038889,169.947222
TCF,Tocoa Airport,Tocoa,Honduras,Central America,-6,15.658889,-85.994722
TCJ,Torembi Airport,Torembi,Papua New Guinea,Asia,10,-4.016667,143.133333
TCK,Tinboli Airport,Tinboli,Papua New Guinea,Asia,10,-4.083333,143.383333
TCU,Thaba Nchu Airport,Thaba Nchu,South Africa,Africa,2,-29.283333,26.866667
TCV,Tete Airport,Tete,Mozambique,Africa,2,-16.216667,33.583333
TEO,Terapo Airport,Terapo,Papua New Guinea,Asia,10,-8.083333,146.066667
TEU,Manapouri Airport,Te Anau,New Zealand,Oceania,12,-45.419444,167.726389
GJM,Guajara-Mirim Airport,Guajara-Mirim,Brazil,South America,-4,-10.783333,-65.366667
THH,Taharoa Aerodrome,Taharoa,New Zealand,Oceania,12,-38.18057,174.708627
TFB,Tifalmin Airport,Tifalmin,Papua New Guinea,Asia,10,-5.118333,141.417778
TFL,Teofilo Otoni Airport,Teofilo Otoni,Brazil,South America,-3,-17.85,-41.5
TFY,Tarfaya Airport,Tarfaya,Morocco,Africa,1,27.916667,-12.916667
TGB,Tagbita Airport,Tagbita,Philippines,Asia,8,1.416667,126.783333
TGF,Tignes Airport,Tignes,France,Europe,2,45.483333,6.9
TGL,Tagula Airport,Tagula,Papua New Guinea,Asia,10,-11.5,153.5
TGQ,Tangara Da Serra Airport,Tangara da Serra,Brazil,South America,-4,-14.656389,-57.448611
TGS,Chokwe Airport,Chokwe,Mozambique,Africa,2,-24.616667,32.416667
THB,Thaba-Tseka Airport,Thaba-Tseka,Lesotho,Africa,2,-28.833333,29.5
TFR,Wadi al Jandali Airport,Ramadan City,Egypt,Middle East,2,30.048475,31.843074
THY,Thohoyandou Airport,Thohoyandou,South Africa,Africa,2,-22.883333,30.55
TIG,Tingwon Airport,Tingwon,Papua New Guinea,Asia,10,-2.6,149.783333
TIO,Tilin Airport,Tilin,Myanmar,Asia,6.5,20,96
TJB,Tanjung Balai Airport,Tanjung Balai,Indonesia,Asia,7,2.916667,99.733333
TJC,Ticantiki Airport,Ticantiki,Panama,Central America,-5,9.408333,-78.488889
TJI,Capiro Airport,Trujillo,Honduras,Central America,-6,15.925833,-85.939444
TJV,Thanjavur Airport,Thanjavur,India,Asia,5.5,10.8,79.2
TKB,Tekadu Airport,Tekadu,Papua New Guinea,Asia,10,-7.666667,146.55
TKI,Tokeen Airport,Tokeen,United States,North America,-8,55.9375,-133.325
TKL,Taku Sea Plane Base,Taku Lodge,United States,North America,-8,58,-134
TKM,El Peten Airport,Tikal,Guatemala,Central America,-6,17.226389,-89.605
TKO,Tlokoeng Airport,Tlokoeng,Lesotho,Africa,2,-29.233333,28.883333
TKR,Thakurgaon Airport,Thakurgaon,Bangladesh,Asia,6,26.016667,88.4
TKW,Tekin Airport,Tekin,Papua New Guinea,Asia,10,-5.25,142.15
TKY,Turkey Creek Airport,Turkey Creek,Australia,Oceania,8,-17.066667,128.25
TOX,Tobolsk Airport,Tobolsk,Russian Federation,Europe,5,58.133333,68.233333
TNQ,Washington Island Airport,Teraina,Kiribati,Oceania,14,4.7,-160.333333
